No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,AbbeValue(nd-1)/(nF-nC)
16851,GP05-314493,JapanesePatentNipponElectricGlass(J),2014,A031285,Glass,Boro-Silicate,AlkaliSilicate,Alumino-Silicate,,,,,OpticalUse,Lens&Prism,,,,Ex.6,,53.72,6.49,7.6,0,0,0,10.8,12.5,5.48,0,0,0,0,0,0,0.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5
8746,GI03-191739R,NGF'sAdditionalNewData(J),2001,v.004p.0003,Glass,Alkaline-earthSilicate,Alumino-Silicate,,,,,,Fiber,,,,Annealing:at850Cfor1h.,GlassNameC103.Melting:inPtcrucibleat1600Cfor7h.,,62.25,0,7.93,4.17,25.41,0,0,0.05,0,0,0,0,0,0,0,0,0.005967,0,0,0,0,0,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.3
18084,GP03-353555,JapanesePatentOwensCorning(US),2013,A513547,Glass,Alkaline-earthSilicate,Zinc-Silicate,,Melting,Fiber,,,PlasticsFRP,,,,,ex.3,,55.18,0,5.99,0,18.83,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.35
18082,GP03-353553,JapanesePatentOwensCorning(US),2013,A513547,Glass,Alkaline-earthSilicate,Zinc-Silicate,,Melting,Fiber,,,PlasticsFRP,,,,,ex.1,,56.57,0,6.54,0,15.45,0,0,0,0,0,0,0,0,0,0,13.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.96
4776,GB06-137686,HandbookofGlassData,1993,v.00Ep.0133,Glass,Alumino-Silicate,,,,,,,,,,,,,,96.36,0,3.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67.2
3189,GP03-050183,JapanesePatentSumitaOpticalGlass(J),1980,A136145,Glass,Alkaline-earthSilicate,Zinc-Silicate,OtherSilicate,,,,,Lens&Prism,,,,,,,59.69,0,0,0,22.44,0,0,2.03,2,0,0,0,0,0,0,9.82,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.9
16111,GP03-309842,USPatentNipponSheetGlass(J),2012,A8338524,Glass,Alkaline-earthSilicate,Alumino-Silicate,,Flake,,,,Filler,Composite,,,,Ex.8,,60,0,7.7,5.27,21.03,0,0.4,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
15031,GP03-301327,JapanesePatentNipponElectricGlass(J),2011,A079688,Glass,Alkaline-earthSilicate,AlkaliSilicate,Boro-Silicate,,,,,OpticalUse,Lens&Prism,,,,Ex.3,,52.6,9.08,1.86,0,6.76,4.54,16.93,1.02,0,0,0,0,0,0,0,2.33,4.88,0,0,0,0,0,0,0,0.004338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59.5
4696,GP07-092839,USPatentSchottGlassTech.(US),1985,A4554259,Glass,Zinc-Silicate,Alumino-Silicate,,NonAlkali,,,,SubstrateforPhotolithographyMask,,,,,,,64.86,3.2,8.56,0,6.34,4.26,0,0,0,0,0,0,0,0,0,12.64,0,0,0,0,0,0,0.08,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.06
3895,GB02-096096,PropertiesofGlass,1954,v.001p.0232,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,tr.;MgO,,75.3,0,2.57,0,0.02,0,0,22.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58.2
