No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,FractureToughness(MPa.m1/2)
12630,GP02-272121,JapanesePatentCentralGlass(J),2006,A131482,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,Display,Substrate,,,,Ex.6,,67.76,0,2.33,8.68,8.91,0.41,0,4.03,6.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74
15670,GP02-307212,JapanesePatentAsahiGlass(J),2012,A020921,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,Display,,,,,Ex.G3,,62,0,13,3,0,0,10,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.89
676,GJ02-003211,J.CeramicSoc.Japan,1988,v.096p.1012,Glass,AlkaliSilicate,,,Fiber,AlkaliResistant,Melting,,,,,,,,,71,0,1,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7
18297,XJ03-355434,J.MaterialsScience,2013,v.048p.3461,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,Melting,GlassCeramics,,,,,,,950C5h,C1,,51.4,0,21,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3
2732,GJ06-037030,J.AmericanCeramicSoc.,1978,v.061p.0027,Glass,Alumino-Silicate,,,,,,,,,,,,8Figures1Table,,60,0,22.5,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69
8683,GI06-191672R,NGF'sAdditionalNewData(J),2001,v.004p.0001,Glass,Alumino-Silicate,AlkaliSilicate,Alkaline-earthSilicate,,,,,ElectronicsElectrical,Substrate,,,Annealing:at770Cfor1hr.,GlassNameC032.Melting:inPtRhcrucibleat1580Cfor24hr.,,55.15,0,14.38,0,20.36,0,0,5.1,5.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
6773,GJ03-156498,GlassTechnology,1994,v.035p.0276,Glass,Alkaline-earthSilicate,,,,,,,,,,,,,,60,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.91
15805,GP05-307972,USPatentAsahiGlass(J),2012,A0141668,Glass,Boro-Silicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,,Ex.6,,67.2,10.6,10.6,2.9,6.7,0.3,0,0,0,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9
9160,GJ05-207739,J.CeramicSoc.Japan,2001,v.109p.0511,Glass,Boro-Silicate,AlkaliSilicate,,,,,,,,,,,,,57,19,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.68
10541,GP03-225008,USPatentAsahiGlass(J),2002,A6500778,Glass,Alkaline-earthSilicate,AlkaliSilicate,Alumino-Silicate,,,,,Display,Substrate,,,,,,66.42,0,4.76,3.44,6.18,3.62,0,4.58,4.63,0,0,0,0,0,0,0,4.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65
