No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,PoissonRatio
4632,GJ02-091260,GlassPhysics&Chemistry,1980,v.006p.0372,Glass,AlkaliSilicate,,,,,,,,,,,,,,68.8,0,0,0,0,0,0,0,31.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.29
3873,GB02-071374,HandbookofGlassData,1983,v.00Ap.0333,Glass,AlkaliSilicate,,,,,,,,,,,,,,65,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.248
9781,GP06-356855,USPatentCorningInc.(US),2014,A0179510,Glass,Alumino-Silicate,Alkaline-earthSilicate,,Melting,SheetGlass,,,Display,LiquidCrystalDisplay,,,,ex.19,,72.2,0.95,12.49,4.5,5.58,1.01,0,0,0,0,0,0,0,0,0,0,3.16,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0.01,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.238
8761,GI02-191768R,NGF'sAdditionalNewData(J),2001,v.004p.0005,Glass,AlkaliSilicate,Alumino-Silicate,Zinc-Silicate,,,,,,,,,Annealing:at730Cfor1h.,GlassNameC132Melting:inPtcrucibleat1630Cfor7h.,,60.26,0,15.08,0,0,0,0,10.04,9.95,0,0,0,0,0,0,4.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
13158,XP03-281601,USPatentHoyaCorp.(J),2007,A7264894,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,810C4hr+1000C4hr,Ex.1-2,,50.25,0,10.51,31.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,7.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.246
814,GB02-006473,HandbookofGlassProperties,1986,v.001p.0326,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,68,0,0,0,0,0,0,0,21.4,0,0,0,0,0,0,0,10.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262
2302,GJ02-041115,GlassPhysics&Chemistry,1981,v.007p.0131,Glass,AlkaliSilicate,,,,,,,,,,,,,,74,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2
702,GB02-004791,HandbookofGlassProperties,1986,v.001p.0313,Glass,AlkaliSilicate,,,,,,,,,,,,,,75,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.26
7110,GB02-164807,FundamentalsofInorganicGlasses,1994,v.001p.0171,Glass,AlkaliSilicate,Alkaline-earthSilicate,,,,,,,,,,,,,62.5,0,0,0,0,0,0,12.5,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27
831,GB09-006558,HandbookofGlassProperties,1986,v.001p.0333,Glass,OtherSilicate,AlkaliSilicate,,,,,,,,,,,,,57.5,0,0,0,0,0,0,17.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.23
2375,GJ06-045729,GlassPhysics&Chemistry,1981,v.007p.0287,Glass,Alumino-Silicate,,,,,,,UltrasonicDelayLine,OpticalModulator,,,,,,70,0,10,5,10,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235
2894,GC01-052437,CoorsTek(J),,T-1170,Glass,Silica,,,Tube,,,,Lamp,,,,,Ozone-freequarzglass.AbsorbUV,,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14
16173,GJ02-310191,J.Non-CrystallineSolids,2012,v.358p.003418,Glass,AlkaliSilicate,,,,,,,,,,,,,,60,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.264
