No.,GlassNo.,DataSource,Year,DataSourceNumber,State,GlassSystem1,GlassSystem2,GlassSystem3,Appearance1,Appearance2,Appearance3,Appearance4,Usage1,Usage2,Usage3,Usage4,ThermalTreatment,Note,GlassNo.(Structure),SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,Ag2O,MnO,FeO,CoO,NiO,CuO,ZnO,SrO,CdO,PbO,SnO,Cr2O3,Fe2O3,As2O3,Y2O3,Sb2O3,La2O3,Nd2O3,Gd2O3,Bi2O3,Co3O4,TiO2,MnO2,GeO2,ZrO2,CeO2,SnO2,P2O5,Ta2O5,Nb2O3,SO3,MoO3,WO3,H2O,LiF,NaF,KF,MgF2,CaF2,SrF2,BaF2,ZnF2,PbF2,YF3,AlF3,LaF3,GdF3,YbF3,ErF3,F,Cl,Br,Ag,Young'sModulusatRT(GPa)
7571,XP03-272689,USPatentHoyaCorp.(J),2006,A0040142,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,,,,,,Substrate,MagneticMemoryDisk,,,800C4h+1000C4h,Ex.1-1,,50.54,0,10.43,30.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.54,0,0,0,0,0,0,7.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135.6
4240,XP06-210889,JapanesePatentKonicaMinolta(J),2001,A026440,Glass-Ceramics,Alumino-Silicate,Alkaline-earthSilicate,,,,,,MagneticMemoryDisk,,,,,Crystal:Magnesium-Aluminosilicate,,58.92,0,8.48,20.71,0,0,5.03,0,0.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0,0,0,0,0,5.18,0,0,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89.56
4675,XP03-212569,JapanesePatentKonicaMinolta(J),2001,A287932,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,Zinc-Silicate,GlassCeramics,,,,MagneticMemoryDisk,,,,,crystal:(MgAl)SiO3Zn2Ti3O8Zn2TiO4,,41.31,0,8.91,23.28,6.48,0,5.07,0,0,0,0,0,0,0,0,11.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116
756,GB05-025780,HandbookofGlassData,1987,v.00Cp.0454,Glass,Boro-Silicate,AlkaliSilicate,,,,,,,,,,,,,57.97,28.99,0,0,0,0,0,13.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.61
7178,GP05-264607,JapanesePatentHoyaCorp.(J),2005,A037651,Glass,Boro-Silicate,,,,,,,OpticalUse,Lens&Prism,,,,Ex.1,,68.98,13,1,0,2,0,0.1,11,0,0,0,0,0,0,0,3.9,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71
272,GB02-006605,HandbookofGlassProperties,1986,v.001p.0331,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,,,,,,,,70,0,10,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69.8
4860,XP03-212754,JapanesePatentKonicaMinolta(J),2001,A287950,Glass-Ceramics,Alkaline-earthSilicate,Alumino-Silicate,OtherSilicate,GlassCeramics,,,,MagneticMemoryDisk,,,,,crystal:(MgAl)SiO3,,40.06,0,6.3,35.16,0,0,12.53,0,2.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
5715,GP09-224077,USPatentNipponSheetGlass(J),2002,A6376084,Glass,OtherSilicate,Alkaline-earthSilicate,,GlassCeramics,,,,Substrate,MagneticMemoryDisk,,,,,,43,0,13,15,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106
6471,GP02-252615,JapanesePatentHoyaCorp.(J),2003,A212591,Glass,AlkaliSilicate,Alumino-Silicate,,,,,,CathodeRayTube,ChemicalStrengthen,,,,Ex.3,,54.4,0,12,0,0,0,13,8,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0.5,0,0,3,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
8646,GP02-297114,USPatentOwensCorning(US),2010,A0152333,Glass,AlkaliSilicate,,,Fiber,,,,Filler,,,,,Ex.5,,70.18,0,0,0,5.22,0,2.91,9.84,2.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.1
